animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,mammal
herring,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,insect
gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
antelope,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
scorpion,False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,invertebrate
giraffe,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
sole,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
mink,True,False,False,True,False,True,True,True,True,True,False,False,4,True,False,True,mammal
porpoise,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
worm,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
lion,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
leopard,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
frog,False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,amphibian
newt,False,False,True,False,False,True,True,True,True,True,False,False,4,True,False,False,amphibian
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
moth,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
haddock,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
cheetah,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
hawk,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
pheasant,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
pussycat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,True,True,mammal
bear,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
starfish,False,False,True,False,False,True,True,False,False,False,False,False,5,False,False,False,invertebrate
crayfish,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,invertebrate
wolf,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,bird
seahorse,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
pony,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
hare,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
platypus,True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,mammal
polecat,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
mongoose,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
chub,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
wren,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
chicken,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
vulture,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,bird
octopus,False,False,True,False,False,True,True,False,False,False,False,False,8,False,False,True,invertebrate
tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,reptile
vole,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
goat,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
duck,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,bird
catfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
gnat,False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
slug,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
seawasp,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,invertebrate
flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,bird
squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,mammal
stingray,False,False,True,False,False,True,True,True,True,False,True,True,0,True,False,True,fish
swan,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,True,bird
bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
housefly,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
tuatara,False,False,True,False,False,False,True,True,True,True,False,False,4,True,False,False,reptile
wasp,True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,insect
sealion,True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,mammal
slowworm,False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,reptile
carp,False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,fish
oryx,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
raccoon,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
flea,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,insect
skua,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
crab,False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,invertebrate
wallaby,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,True,mammal
reindeer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
opossum,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
sparrow,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
lynx,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
