Trees,Difference,Precision,Recall,FBeta
1,652,0.1445768958917858,0.13066666666666665,0.12751126919174077
2,627,0.15887075701211825,0.164,0.15121217109165033
3,627,0.20860865190279612,0.164,0.1608357956134289
4,608,0.24567242083117022,0.18933333333333333,0.18252237823572204
5,577,0.30777582358456756,0.23066666666666666,0.22355741601962906
6,570,0.2962783249943298,0.24,0.23540230205364007
7,545,0.3105737131139518,0.2733333333333333,0.26623437634636504
8,521,0.3673784278871301,0.30533333333333335,0.30802990956118637
9,528,0.32157221882781156,0.296,0.2869593471513349
10,530,0.31154111284016267,0.29333333333333333,0.2795113905665049
15,480,0.3781243636086239,0.36,0.35170131640941865
20,456,0.43654844806131554,0.392,0.3895322944232691
25,433,0.4584039078307444,0.4226666666666667,0.4157140029686137
30,439,0.43025185424016404,0.4146666666666667,0.40046480122574446
50,373,0.5262645638355801,0.5026666666666667,0.48781332072082395
100,287,0.6583914523098733,0.6173333333333333,0.603626324538112
200,227,0.7325979794985529,0.6973333333333334,0.686410572501223
500,208,0.7867933607062506,0.7226666666666667,0.7047352251566558
1000,202,0.7829660715961027,0.7306666666666667,0.7183596628321844
2500,189,0.8117678348205746,0.748,0.7396772112053299
