Trees,Difference,Precision,Recall,FBeta
1,218,0.934255879014279,0.9342779620138679,0.9342638257258058
2,166,0.9511703261565083,0.9499547784142297,0.9500618218153688
3,127,0.9617018048405763,0.9617123907145011,0.9617027574033499
4,113,0.9659493717652338,0.96593307205306,0.9659390010434624
5,111,0.9665532680151275,0.966536026529997,0.9665124493193391
6,86,0.9740682652545444,0.9740729574917094,0.9740673807909143
7,93,0.9720362765697897,0.9719626168224299,0.9719339697218158
8,92,0.9722586113345324,0.9722640940608984,0.9722581282879548
9,95,0.9714052152359561,0.9713596623454929,0.9713349850954447
10,91,0.9725830282808678,0.9725655712993669,0.9725483654608216
15,85,0.9743942600756155,0.9743744347301778,0.9743583633425255
20,97,0.9707507572063386,0.970756707868556,0.9707493501427161
25,95,0.9713627484560118,0.9713596623454929,0.9713460679416928
30,89,0.973163811170542,0.9731685257763039,0.9731617748732138
50,85,0.9743697602939193,0.9743744347301778,0.9743698536530876
100,93,0.9719588928790942,0.9719626168224299,0.9719534991633424
200,87,0.973790516144033,0.9737714802532409,0.9737550307152909
500,88,0.9734661879818456,0.9734700030147724,0.9734623542747838
1000,83,0.9749756723891523,0.9749773892071149,0.9749692519414774
2500,85,0.9743804796292624,0.9743744347301778,0.9743622713162515
