Weight,DistanceMetric,Algorithm,Neighbours,Difference
distance,euclidean,ball_tree,1,565
distance,euclidean,ball_tree,2,565
distance,euclidean,ball_tree,3,560
distance,euclidean,ball_tree,4,547
distance,euclidean,ball_tree,5,545
distance,euclidean,ball_tree,6,539
distance,euclidean,ball_tree,7,529
distance,euclidean,ball_tree,8,526
distance,euclidean,ball_tree,9,531
distance,euclidean,ball_tree,10,534
distance,euclidean,ball_tree,15,550
distance,euclidean,ball_tree,20,553
distance,euclidean,ball_tree,25,549
distance,euclidean,ball_tree,30,545
distance,euclidean,ball_tree,50,557
distance,euclidean,ball_tree,100,617
distance,euclidean,kd_tree,1,565
distance,euclidean,kd_tree,2,565
distance,euclidean,kd_tree,3,560
distance,euclidean,kd_tree,4,547
distance,euclidean,kd_tree,5,545
distance,euclidean,kd_tree,6,539
distance,euclidean,kd_tree,7,529
distance,euclidean,kd_tree,8,526
distance,euclidean,kd_tree,9,531
distance,euclidean,kd_tree,10,534
distance,euclidean,kd_tree,15,550
distance,euclidean,kd_tree,20,553
distance,euclidean,kd_tree,25,549
distance,euclidean,kd_tree,30,545
distance,euclidean,kd_tree,50,557
distance,euclidean,kd_tree,100,617
distance,euclidean,brute,1,565
distance,euclidean,brute,2,565
distance,euclidean,brute,3,560
distance,euclidean,brute,4,547
distance,euclidean,brute,5,545
distance,euclidean,brute,6,539
distance,euclidean,brute,7,529
distance,euclidean,brute,8,526
distance,euclidean,brute,9,531
distance,euclidean,brute,10,534
distance,euclidean,brute,15,549
distance,euclidean,brute,20,553
distance,euclidean,brute,25,549
distance,euclidean,brute,30,545
distance,euclidean,brute,50,557
distance,euclidean,brute,100,617
distance,manhattan,ball_tree,1,442
distance,manhattan,ball_tree,2,442
distance,manhattan,ball_tree,3,441
distance,manhattan,ball_tree,4,437
distance,manhattan,ball_tree,5,438
distance,manhattan,ball_tree,6,433
distance,manhattan,ball_tree,7,425
distance,manhattan,ball_tree,8,430
distance,manhattan,ball_tree,9,431
distance,manhattan,ball_tree,10,431
distance,manhattan,ball_tree,15,440
distance,manhattan,ball_tree,20,445
distance,manhattan,ball_tree,25,448
distance,manhattan,ball_tree,30,459
distance,manhattan,ball_tree,50,479
distance,manhattan,ball_tree,100,536
distance,manhattan,kd_tree,1,442
distance,manhattan,kd_tree,2,442
distance,manhattan,kd_tree,3,441
distance,manhattan,kd_tree,4,437
distance,manhattan,kd_tree,5,437
distance,manhattan,kd_tree,6,433
distance,manhattan,kd_tree,7,425
distance,manhattan,kd_tree,8,430
distance,manhattan,kd_tree,9,431
distance,manhattan,kd_tree,10,430
distance,manhattan,kd_tree,15,440
distance,manhattan,kd_tree,20,445
distance,manhattan,kd_tree,25,448
distance,manhattan,kd_tree,30,460
distance,manhattan,kd_tree,50,479
distance,manhattan,kd_tree,100,536
distance,manhattan,brute,1,442
distance,manhattan,brute,2,442
distance,manhattan,brute,3,441
distance,manhattan,brute,4,437
distance,manhattan,brute,5,437
distance,manhattan,brute,6,434
distance,manhattan,brute,7,425
distance,manhattan,brute,8,430
distance,manhattan,brute,9,431
distance,manhattan,brute,10,430
distance,manhattan,brute,15,440
distance,manhattan,brute,20,445
distance,manhattan,brute,25,446
distance,manhattan,brute,30,460
distance,manhattan,brute,50,479
distance,manhattan,brute,100,536
uniform,manhattan,ball_tree,1,442
uniform,manhattan,ball_tree,2,480
uniform,manhattan,ball_tree,3,478
uniform,manhattan,ball_tree,4,478
uniform,manhattan,ball_tree,5,474
uniform,manhattan,ball_tree,6,468
uniform,manhattan,ball_tree,7,462
uniform,manhattan,ball_tree,8,468
uniform,manhattan,ball_tree,9,467
uniform,manhattan,ball_tree,10,471
uniform,manhattan,ball_tree,15,473
uniform,manhattan,ball_tree,20,478
uniform,manhattan,ball_tree,25,486
uniform,manhattan,ball_tree,30,491
uniform,manhattan,ball_tree,50,511
uniform,manhattan,ball_tree,100,570
uniform,manhattan,kd_tree,1,442
uniform,manhattan,kd_tree,2,480
uniform,manhattan,kd_tree,3,479
uniform,manhattan,kd_tree,4,477
uniform,manhattan,kd_tree,5,473
uniform,manhattan,kd_tree,6,468
uniform,manhattan,kd_tree,7,463
uniform,manhattan,kd_tree,8,468
uniform,manhattan,kd_tree,9,467
uniform,manhattan,kd_tree,10,471
uniform,manhattan,kd_tree,15,474
uniform,manhattan,kd_tree,20,479
uniform,manhattan,kd_tree,25,486
uniform,manhattan,kd_tree,30,492
uniform,manhattan,kd_tree,50,512
uniform,manhattan,kd_tree,100,571
uniform,manhattan,brute,1,442
uniform,manhattan,brute,2,479
uniform,manhattan,brute,3,477
uniform,manhattan,brute,4,478
uniform,manhattan,brute,5,474
uniform,manhattan,brute,6,468
uniform,manhattan,brute,7,463
uniform,manhattan,brute,8,468
uniform,manhattan,brute,9,467
uniform,manhattan,brute,10,472
uniform,manhattan,brute,15,474
uniform,manhattan,brute,20,479
uniform,manhattan,brute,25,484
uniform,manhattan,brute,30,492
uniform,manhattan,brute,50,510
uniform,manhattan,brute,100,572
