Weight,DistanceMetric,Algorithm,Neighbours,Difference
distance,euclidean,ball_tree,1,19
distance,euclidean,ball_tree,2,15
distance,euclidean,ball_tree,3,10
distance,euclidean,ball_tree,4,9
distance,euclidean,ball_tree,5,14
distance,euclidean,ball_tree,6,11
distance,euclidean,ball_tree,7,12
distance,euclidean,ball_tree,8,12
distance,euclidean,ball_tree,9,15
distance,euclidean,ball_tree,10,13
distance,euclidean,ball_tree,15,14
distance,euclidean,ball_tree,20,16
distance,euclidean,ball_tree,25,17
distance,euclidean,ball_tree,30,19
distance,euclidean,ball_tree,50,17
distance,euclidean,ball_tree,100,15
distance,euclidean,kd_tree,1,18
distance,euclidean,kd_tree,2,17
distance,euclidean,kd_tree,3,14
distance,euclidean,kd_tree,4,9
distance,euclidean,kd_tree,5,13
distance,euclidean,kd_tree,6,9
distance,euclidean,kd_tree,7,10
distance,euclidean,kd_tree,8,10
distance,euclidean,kd_tree,9,13
distance,euclidean,kd_tree,10,12
distance,euclidean,kd_tree,15,15
distance,euclidean,kd_tree,20,15
distance,euclidean,kd_tree,25,17
distance,euclidean,kd_tree,30,18
distance,euclidean,kd_tree,50,17
distance,euclidean,kd_tree,100,16
distance,euclidean,brute,1,21
distance,euclidean,brute,2,17
distance,euclidean,brute,3,10
distance,euclidean,brute,4,9
distance,euclidean,brute,5,10
distance,euclidean,brute,6,10
distance,euclidean,brute,7,12
distance,euclidean,brute,8,13
distance,euclidean,brute,9,15
distance,euclidean,brute,10,15
distance,euclidean,brute,15,16
distance,euclidean,brute,20,14
distance,euclidean,brute,25,18
distance,euclidean,brute,30,19
distance,euclidean,brute,50,17
distance,euclidean,brute,100,15
distance,manhattan,ball_tree,1,18
distance,manhattan,ball_tree,2,15
distance,manhattan,ball_tree,3,10
distance,manhattan,ball_tree,4,10
distance,manhattan,ball_tree,5,10
distance,manhattan,ball_tree,6,10
distance,manhattan,ball_tree,7,11
distance,manhattan,ball_tree,8,12
distance,manhattan,ball_tree,9,12
distance,manhattan,ball_tree,10,12
distance,manhattan,ball_tree,15,13
distance,manhattan,ball_tree,20,13
distance,manhattan,ball_tree,25,14
distance,manhattan,ball_tree,30,15
distance,manhattan,ball_tree,50,16
distance,manhattan,ball_tree,100,16
distance,manhattan,kd_tree,1,16
distance,manhattan,kd_tree,2,14
distance,manhattan,kd_tree,3,13
distance,manhattan,kd_tree,4,11
distance,manhattan,kd_tree,5,12
distance,manhattan,kd_tree,6,10
distance,manhattan,kd_tree,7,10
distance,manhattan,kd_tree,8,10
distance,manhattan,kd_tree,9,10
distance,manhattan,kd_tree,10,10
distance,manhattan,kd_tree,15,13
distance,manhattan,kd_tree,20,13
distance,manhattan,kd_tree,25,13
distance,manhattan,kd_tree,30,16
distance,manhattan,kd_tree,50,17
distance,manhattan,kd_tree,100,15
distance,manhattan,brute,1,17
distance,manhattan,brute,2,15
distance,manhattan,brute,3,10
distance,manhattan,brute,4,7
distance,manhattan,brute,5,9
distance,manhattan,brute,6,9
distance,manhattan,brute,7,10
distance,manhattan,brute,8,11
distance,manhattan,brute,9,10
distance,manhattan,brute,10,10
distance,manhattan,brute,15,13
distance,manhattan,brute,20,13
distance,manhattan,brute,25,13
distance,manhattan,brute,30,14
distance,manhattan,brute,50,17
distance,manhattan,brute,100,15
uniform,euclidean,ball_tree,1,19
uniform,euclidean,ball_tree,2,12
uniform,euclidean,ball_tree,3,10
uniform,euclidean,ball_tree,4,8
uniform,euclidean,ball_tree,5,14
uniform,euclidean,ball_tree,6,12
uniform,euclidean,ball_tree,7,12
uniform,euclidean,ball_tree,8,12
uniform,euclidean,ball_tree,9,15
uniform,euclidean,ball_tree,10,13
uniform,euclidean,ball_tree,15,14
uniform,euclidean,ball_tree,20,16
uniform,euclidean,ball_tree,25,17
uniform,euclidean,ball_tree,30,18
uniform,euclidean,ball_tree,50,17
uniform,euclidean,ball_tree,100,15
uniform,euclidean,kd_tree,1,18
uniform,euclidean,kd_tree,2,15
uniform,euclidean,kd_tree,3,14
uniform,euclidean,kd_tree,4,8
uniform,euclidean,kd_tree,5,13
uniform,euclidean,kd_tree,6,10
uniform,euclidean,kd_tree,7,10
uniform,euclidean,kd_tree,8,10
uniform,euclidean,kd_tree,9,13
uniform,euclidean,kd_tree,10,12
uniform,euclidean,kd_tree,15,15
uniform,euclidean,kd_tree,20,15
uniform,euclidean,kd_tree,25,17
uniform,euclidean,kd_tree,30,17
uniform,euclidean,kd_tree,50,17
uniform,euclidean,kd_tree,100,16
uniform,euclidean,brute,1,21
uniform,euclidean,brute,2,14
uniform,euclidean,brute,3,10
uniform,euclidean,brute,4,7
uniform,euclidean,brute,5,10
uniform,euclidean,brute,6,10
uniform,euclidean,brute,7,12
uniform,euclidean,brute,8,12
uniform,euclidean,brute,9,15
uniform,euclidean,brute,10,15
uniform,euclidean,brute,15,16
uniform,euclidean,brute,20,14
uniform,euclidean,brute,25,18
uniform,euclidean,brute,30,18
uniform,euclidean,brute,50,18
uniform,euclidean,brute,100,16
