loss,penalty,max_iter,alpha,Difference
hinge,l2,129,0.0001,235
hinge,l2,129,0.001,221
hinge,l2,129,0.01,224
hinge,l2,129,0.1,245
hinge,l2,409,0.0001,246
hinge,l2,409,0.001,215
hinge,l2,409,0.01,227
hinge,l2,409,0.1,245
hinge,l2,1292,0.0001,227
hinge,l2,1292,0.001,230
hinge,l2,1292,0.01,228
hinge,l2,1292,0.1,249
hinge,l1,129,0.0001,223
hinge,l1,129,0.001,214
hinge,l1,129,0.01,263
hinge,l1,129,0.1,350
hinge,l1,409,0.0001,231
hinge,l1,409,0.001,227
hinge,l1,409,0.01,259
hinge,l1,409,0.1,350
hinge,l1,1292,0.0001,249
hinge,l1,1292,0.001,224
hinge,l1,1292,0.01,260
hinge,l1,1292,0.1,350
hinge,elasticnet,129,0.0001,236
hinge,elasticnet,129,0.001,223
hinge,elasticnet,129,0.01,229
hinge,elasticnet,129,0.1,262
hinge,elasticnet,409,0.0001,257
hinge,elasticnet,409,0.001,221
hinge,elasticnet,409,0.01,227
hinge,elasticnet,409,0.1,262
hinge,elasticnet,1292,0.0001,321
hinge,elasticnet,1292,0.001,218
hinge,elasticnet,1292,0.01,230
hinge,elasticnet,1292,0.1,257
squared_loss,l2,129,0.0001,270
squared_loss,l2,129,0.001,241
squared_loss,l2,129,0.01,242
squared_loss,l2,129,0.1,1684
squared_loss,l2,409,0.0001,283
squared_loss,l2,409,0.001,239
squared_loss,l2,409,0.01,245
squared_loss,l2,409,0.1,1686
squared_loss,l2,1292,0.0001,290
squared_loss,l2,1292,0.001,253
squared_loss,l2,1292,0.01,252
squared_loss,l2,1292,0.1,1685
squared_loss,l1,129,0.0001,284
squared_loss,l1,129,0.001,263
squared_loss,l1,129,0.01,1819
squared_loss,l1,129,0.1,1740
squared_loss,l1,409,0.0001,390
squared_loss,l1,409,0.001,240
squared_loss,l1,409,0.01,394
squared_loss,l1,409,0.1,1644
squared_loss,l1,1292,0.0001,320
squared_loss,l1,1292,0.001,273
squared_loss,l1,1292,0.01,494
squared_loss,l1,1292,0.1,1467
squared_loss,elasticnet,129,0.0001,299
squared_loss,elasticnet,129,0.001,259
squared_loss,elasticnet,129,0.01,267
squared_loss,elasticnet,129,0.1,1674
squared_loss,elasticnet,409,0.0001,259
squared_loss,elasticnet,409,0.001,237
squared_loss,elasticnet,409,0.01,250
squared_loss,elasticnet,409,0.1,1642
squared_loss,elasticnet,1292,0.0001,323
squared_loss,elasticnet,1292,0.001,241
squared_loss,elasticnet,1292,0.01,263
squared_loss,elasticnet,1292,0.1,1674
huber,l2,129,0.0001,390
huber,l2,129,0.001,346
huber,l2,129,0.01,362
huber,l2,129,0.1,293
huber,l2,409,0.0001,354
huber,l2,409,0.001,370
huber,l2,409,0.01,354
huber,l2,409,0.1,292
huber,l2,1292,0.0001,369
huber,l2,1292,0.001,348
huber,l2,1292,0.01,365
huber,l2,1292,0.1,296
huber,l1,129,0.0001,358
huber,l1,129,0.001,354
huber,l1,129,0.01,350
huber,l1,129,0.1,1467
huber,l1,409,0.0001,352
huber,l1,409,0.001,355
huber,l1,409,0.01,375
huber,l1,409,0.1,1467
huber,l1,1292,0.0001,367
huber,l1,1292,0.001,355
huber,l1,1292,0.01,350
huber,l1,1292,0.1,1467
huber,elasticnet,129,0.0001,357
huber,elasticnet,129,0.001,353
huber,elasticnet,129,0.01,351
huber,elasticnet,129,0.1,347
huber,elasticnet,409,0.0001,357
huber,elasticnet,409,0.001,356
huber,elasticnet,409,0.01,354
huber,elasticnet,409,0.1,347
huber,elasticnet,1292,0.0001,345
huber,elasticnet,1292,0.001,368
huber,elasticnet,1292,0.01,353
huber,elasticnet,1292,0.1,361
epsilon_insensitive,l2,129,0.0001,326
epsilon_insensitive,l2,129,0.001,363
epsilon_insensitive,l2,129,0.01,357
epsilon_insensitive,l2,129,0.1,357
epsilon_insensitive,l2,409,0.0001,382
epsilon_insensitive,l2,409,0.001,349
epsilon_insensitive,l2,409,0.01,353
epsilon_insensitive,l2,409,0.1,355
epsilon_insensitive,l2,1292,0.0001,356
epsilon_insensitive,l2,1292,0.001,351
epsilon_insensitive,l2,1292,0.01,352
epsilon_insensitive,l2,1292,0.1,356
epsilon_insensitive,l1,129,0.0001,362
epsilon_insensitive,l1,129,0.001,365
epsilon_insensitive,l1,129,0.01,355
epsilon_insensitive,l1,129,0.1,375
epsilon_insensitive,l1,409,0.0001,349
epsilon_insensitive,l1,409,0.001,365
epsilon_insensitive,l1,409,0.01,361
epsilon_insensitive,l1,409,0.1,350
epsilon_insensitive,l1,1292,0.0001,345
epsilon_insensitive,l1,1292,0.001,371
epsilon_insensitive,l1,1292,0.01,353
epsilon_insensitive,l1,1292,0.1,350
epsilon_insensitive,elasticnet,129,0.0001,348
epsilon_insensitive,elasticnet,129,0.001,358
epsilon_insensitive,elasticnet,129,0.01,354
epsilon_insensitive,elasticnet,129,0.1,356
epsilon_insensitive,elasticnet,409,0.0001,394
epsilon_insensitive,elasticnet,409,0.001,367
epsilon_insensitive,elasticnet,409,0.01,357
epsilon_insensitive,elasticnet,409,0.1,354
epsilon_insensitive,elasticnet,1292,0.0001,364
epsilon_insensitive,elasticnet,1292,0.001,351
epsilon_insensitive,elasticnet,1292,0.01,357
epsilon_insensitive,elasticnet,1292,0.1,355
squared_epsilon_insensitive,l2,129,0.0001,269
squared_epsilon_insensitive,l2,129,0.001,272
squared_epsilon_insensitive,l2,129,0.01,233
squared_epsilon_insensitive,l2,129,0.1,1689
squared_epsilon_insensitive,l2,409,0.0001,466
squared_epsilon_insensitive,l2,409,0.001,239
squared_epsilon_insensitive,l2,409,0.01,240
squared_epsilon_insensitive,l2,409,0.1,1685
squared_epsilon_insensitive,l2,1292,0.0001,342
squared_epsilon_insensitive,l2,1292,0.001,237
squared_epsilon_insensitive,l2,1292,0.01,235
squared_epsilon_insensitive,l2,1292,0.1,1628
squared_epsilon_insensitive,l1,129,0.0001,337
squared_epsilon_insensitive,l1,129,0.001,251
squared_epsilon_insensitive,l1,129,0.01,267
squared_epsilon_insensitive,l1,129,0.1,1575
squared_epsilon_insensitive,l1,409,0.0001,320
squared_epsilon_insensitive,l1,409,0.001,248
squared_epsilon_insensitive,l1,409,0.01,275
squared_epsilon_insensitive,l1,409,0.1,1510
squared_epsilon_insensitive,l1,1292,0.0001,311
squared_epsilon_insensitive,l1,1292,0.001,242
squared_epsilon_insensitive,l1,1292,0.01,274
squared_epsilon_insensitive,l1,1292,0.1,1731
squared_epsilon_insensitive,elasticnet,129,0.0001,329
squared_epsilon_insensitive,elasticnet,129,0.001,241
squared_epsilon_insensitive,elasticnet,129,0.01,239
squared_epsilon_insensitive,elasticnet,129,0.1,1631
squared_epsilon_insensitive,elasticnet,409,0.0001,404
squared_epsilon_insensitive,elasticnet,409,0.001,253
squared_epsilon_insensitive,elasticnet,409,0.01,246
squared_epsilon_insensitive,elasticnet,409,0.1,1630
squared_epsilon_insensitive,elasticnet,1292,0.0001,282
squared_epsilon_insensitive,elasticnet,1292,0.001,242
squared_epsilon_insensitive,elasticnet,1292,0.01,242
squared_epsilon_insensitive,elasticnet,1292,0.1,1692
