loss,penalty,max_iter,alpha,diff
hinge,l2,2000,0.0001,2
hinge,l2,2000,0.001,2
hinge,l2,2000,0.01,3
hinge,l2,2000,0.1,3
hinge,l2,10000,0.0001,2
hinge,l2,10000,0.001,2
hinge,l2,10000,0.01,2
hinge,l2,10000,0.1,3
hinge,l2,50000,0.0001,3
hinge,l2,50000,0.001,2
hinge,l2,50000,0.01,2
hinge,l2,50000,0.1,3
hinge,l1,2000,0.0001,2
hinge,l1,2000,0.001,1
hinge,l1,2000,0.01,2
hinge,l1,2000,0.1,7
hinge,l1,10000,0.0001,1
hinge,l1,10000,0.001,2
hinge,l1,10000,0.01,2
hinge,l1,10000,0.1,4
hinge,l1,50000,0.0001,2
hinge,l1,50000,0.001,2
hinge,l1,50000,0.01,2
hinge,l1,50000,0.1,7
hinge,elasticnet,2000,0.0001,2
hinge,elasticnet,2000,0.001,2
hinge,elasticnet,2000,0.01,2
hinge,elasticnet,2000,0.1,4
hinge,elasticnet,10000,0.0001,2
hinge,elasticnet,10000,0.001,2
hinge,elasticnet,10000,0.01,2
hinge,elasticnet,10000,0.1,4
hinge,elasticnet,50000,0.0001,2
hinge,elasticnet,50000,0.001,2
hinge,elasticnet,50000,0.01,2
hinge,elasticnet,50000,0.1,6
squared_loss,l2,2000,0.0001,18
squared_loss,l2,2000,0.001,26
squared_loss,l2,2000,0.01,31
squared_loss,l2,2000,0.1,26
squared_loss,l2,10000,0.0001,30
squared_loss,l2,10000,0.001,17
squared_loss,l2,10000,0.01,31
squared_loss,l2,10000,0.1,28
squared_loss,l2,50000,0.0001,30
squared_loss,l2,50000,0.001,28
squared_loss,l2,50000,0.01,27
squared_loss,l2,50000,0.1,28
squared_loss,l1,2000,0.0001,29
squared_loss,l1,2000,0.001,26
squared_loss,l1,2000,0.01,29
squared_loss,l1,2000,0.1,28
squared_loss,l1,10000,0.0001,18
squared_loss,l1,10000,0.001,30
squared_loss,l1,10000,0.01,27
squared_loss,l1,10000,0.1,19
squared_loss,l1,50000,0.0001,22
squared_loss,l1,50000,0.001,31
squared_loss,l1,50000,0.01,30
squared_loss,l1,50000,0.1,22
squared_loss,elasticnet,2000,0.0001,30
squared_loss,elasticnet,2000,0.001,24
squared_loss,elasticnet,2000,0.01,31
squared_loss,elasticnet,2000,0.1,30
