kernel,penalty,gamma,degree,Difference
poly,0.1,auto,0,739
poly,0.1,auto,1,707
poly,0.1,auto,2,422
poly,0.1,scale,0,739
poly,0.1,scale,1,739
poly,0.1,scale,2,722
poly,1,auto,0,739
poly,1,auto,1,428
poly,1,auto,2,391
poly,1,scale,0,739
poly,1,scale,1,708
poly,1,scale,2,684
poly,10,auto,0,739
poly,10,auto,1,331
poly,10,auto,2,392
poly,10,scale,0,739
poly,10,scale,1,460
poly,10,scale,2,439
poly,100,auto,0,739
poly,100,auto,1,331
poly,100,auto,2,392
poly,100,scale,0,739
poly,100,scale,1,331
poly,100,scale,2,391
poly,1000,auto,0,739
poly,1000,auto,1,331
poly,1000,auto,2,392
poly,1000,scale,0,739
poly,1000,scale,1,331
poly,1000,scale,2,392
rbf,0.1,auto,0,739
rbf,0.1,auto,1,739
rbf,0.1,auto,2,739
rbf,0.1,scale,0,739
rbf,0.1,scale,1,739
rbf,0.1,scale,2,739
rbf,1,auto,0,513
rbf,1,auto,1,513
rbf,1,auto,2,513
rbf,1,scale,0,704
rbf,1,scale,1,704
rbf,1,scale,2,704
rbf,10,auto,0,414
rbf,10,auto,1,414
rbf,10,auto,2,414
rbf,10,scale,0,355
rbf,10,scale,1,355
rbf,10,scale,2,355
rbf,100,auto,0,414
rbf,100,auto,1,414
rbf,100,auto,2,414
rbf,100,scale,0,319
rbf,100,scale,1,319
rbf,100,scale,2,319
rbf,1000,auto,0,414
rbf,1000,auto,1,414
rbf,1000,auto,2,414
rbf,1000,scale,0,319
rbf,1000,scale,1,319
rbf,1000,scale,2,319
linear,0.1,auto,0,331
linear,0.1,auto,1,331
linear,0.1,auto,2,331
linear,0.1,scale,0,331
linear,0.1,scale,1,331
linear,0.1,scale,2,331
linear,1,auto,0,331
linear,1,auto,1,331
linear,1,auto,2,331
linear,1,scale,0,331
linear,1,scale,1,331
linear,1,scale,2,331
linear,10,auto,0,331
linear,10,auto,1,331
linear,10,auto,2,331
linear,10,scale,0,331
linear,10,scale,1,331
linear,10,scale,2,331
linear,100,auto,0,331
linear,100,auto,1,331
linear,100,auto,2,331
linear,100,scale,0,331
linear,100,scale,1,331
linear,100,scale,2,331
linear,1000,auto,0,331
linear,1000,auto,1,331
linear,1000,auto,2,331
linear,1000,scale,0,331
linear,1000,scale,1,331
linear,1000,scale,2,331
