kernel,penalty,gamma,degree,Difference
poly,0.1,auto,0,82
poly,0.1,auto,1,12
poly,0.1,auto,2,24
poly,0.1,scale,0,82
poly,0.1,scale,1,7
poly,0.1,scale,2,8
poly,1,auto,0,82
poly,1,auto,1,4
poly,1,auto,2,6
poly,1,scale,0,82
poly,1,scale,1,6
poly,1,scale,2,2
poly,10,auto,0,82
poly,10,auto,1,5
poly,10,auto,2,4
poly,10,scale,0,82
poly,10,scale,1,6
poly,10,scale,2,7
poly,100,auto,0,82
poly,100,auto,1,8
poly,100,auto,2,9
poly,100,scale,0,82
poly,100,scale,1,5
poly,100,scale,2,9
poly,1000,auto,0,82
poly,1000,auto,1,4
poly,1000,auto,2,9
poly,1000,scale,0,82
poly,1000,scale,1,6
poly,1000,scale,2,9
rbf,0.1,auto,0,10
rbf,0.1,auto,1,10
rbf,0.1,auto,2,10
rbf,0.1,scale,0,12
rbf,0.1,scale,1,12
rbf,0.1,scale,2,12
rbf,1,auto,0,5
rbf,1,auto,1,5
rbf,1,auto,2,5
rbf,1,scale,0,0
rbf,1,scale,1,0
rbf,1,scale,2,0
rbf,10,auto,0,6
rbf,10,auto,1,6
rbf,10,auto,2,6
rbf,10,scale,0,7
rbf,10,scale,1,7
rbf,10,scale,2,7
rbf,100,auto,0,7
rbf,100,auto,1,7
rbf,100,auto,2,7
rbf,100,scale,0,7
rbf,100,scale,1,7
rbf,100,scale,2,7
rbf,1000,auto,0,7
rbf,1000,auto,1,7
rbf,1000,auto,2,7
rbf,1000,scale,0,7
rbf,1000,scale,1,7
rbf,1000,scale,2,7
linear,0.1,auto,0,6
linear,0.1,auto,1,6
linear,0.1,auto,2,6
linear,0.1,scale,0,6
linear,0.1,scale,1,6
linear,0.1,scale,2,6
linear,1,auto,0,8
linear,1,auto,1,8
linear,1,auto,2,8
linear,1,scale,0,8
linear,1,scale,1,8
linear,1,scale,2,8
linear,10,auto,0,6
linear,10,auto,1,6
linear,10,auto,2,6
linear,10,scale,0,6
linear,10,scale,1,6
linear,10,scale,2,6
linear,100,auto,0,6
linear,100,auto,1,6
linear,100,auto,2,6
linear,100,scale,0,6
linear,100,scale,1,6
linear,100,scale,2,6
linear,1000,auto,0,6
linear,1000,auto,1,6
linear,1000,auto,2,6
linear,1000,scale,0,6
linear,1000,scale,1,6
linear,1000,scale,2,6
