kernel,penalty,gamma,degree,Difference
poly,0.1,auto,0,1467
poly,0.1,auto,1,238
poly,0.1,auto,2,252
poly,0.1,scale,0,1467
poly,0.1,scale,1,230
poly,0.1,scale,2,245
poly,1,auto,0,1467
poly,1,auto,1,215
poly,1,auto,2,197
poly,1,scale,0,1467
poly,1,scale,1,219
poly,1,scale,2,194
poly,10,auto,0,1467
poly,10,auto,1,218
poly,10,auto,2,159
poly,10,scale,0,1467
poly,10,scale,1,217
poly,10,scale,2,153
poly,100,auto,0,1467
poly,100,auto,1,219
poly,100,auto,2,138
poly,100,scale,0,1467
poly,100,scale,1,219
poly,100,scale,2,135
poly,1000,auto,0,1467
poly,1000,auto,1,219
poly,1000,auto,2,163
poly,1000,scale,0,1467
poly,1000,scale,1,219
poly,1000,scale,2,150
rbf,0.1,auto,0,220
rbf,0.1,auto,1,220
rbf,0.1,auto,2,220
rbf,0.1,scale,0,217
rbf,0.1,scale,1,217
rbf,0.1,scale,2,217
rbf,1,auto,0,181
rbf,1,auto,1,181
rbf,1,auto,2,181
rbf,1,scale,0,171
rbf,1,scale,1,171
rbf,1,scale,2,171
rbf,10,auto,0,130
rbf,10,auto,1,130
rbf,10,auto,2,130
rbf,10,scale,0,113
rbf,10,scale,1,113
rbf,10,scale,2,113
rbf,100,auto,0,109
rbf,100,auto,1,109
rbf,100,auto,2,109
rbf,100,scale,0,109
rbf,100,scale,1,109
rbf,100,scale,2,109
rbf,1000,auto,0,109
rbf,1000,auto,1,109
rbf,1000,auto,2,109
rbf,1000,scale,0,114
rbf,1000,scale,1,114
rbf,1000,scale,2,114
linear,0.1,auto,0,215
linear,0.1,auto,1,215
linear,0.1,auto,2,215
linear,0.1,scale,0,215
linear,0.1,scale,1,215
linear,0.1,scale,2,215
linear,1,auto,0,220
linear,1,auto,1,220
linear,1,auto,2,220
linear,1,scale,0,220
linear,1,scale,1,220
linear,1,scale,2,220
linear,10,auto,0,219
linear,10,auto,1,219
linear,10,auto,2,219
linear,10,scale,0,219
linear,10,scale,1,219
linear,10,scale,2,219
linear,100,auto,0,219
linear,100,auto,1,219
linear,100,auto,2,219
linear,100,scale,0,219
linear,100,scale,1,219
linear,100,scale,2,219
linear,1000,auto,0,219
linear,1000,auto,1,219
linear,1000,auto,2,219
linear,1000,scale,0,219
linear,1000,scale,1,219
linear,1000,scale,2,219
