kernel,penalty,gamma,degree,Difference
poly,0.1,auto,0,18
poly,0.1,auto,1,18
poly,0.1,auto,2,9
poly,0.1,scale,0,18
poly,0.1,scale,1,18
poly,0.1,scale,2,10
poly,1,auto,0,18
poly,1,auto,1,5
poly,1,auto,2,4
poly,1,scale,0,18
poly,1,scale,1,5
poly,1,scale,2,5
poly,10,auto,0,18
poly,10,auto,1,2
poly,10,auto,2,3
poly,10,scale,0,18
poly,10,scale,1,2
poly,10,scale,2,3
poly,100,auto,0,18
poly,100,auto,1,2
poly,100,auto,2,3
poly,100,scale,0,18
poly,100,scale,1,2
poly,100,scale,2,3
poly,1000,auto,0,18
poly,1000,auto,1,2
poly,1000,auto,2,3
poly,1000,scale,0,18
poly,1000,scale,1,2
poly,1000,scale,2,3
rbf,0.1,auto,0,18
rbf,0.1,auto,1,18
rbf,0.1,auto,2,18
rbf,0.1,scale,0,14
rbf,0.1,scale,1,14
rbf,0.1,scale,2,14
rbf,1,auto,0,2
rbf,1,auto,1,2
rbf,1,auto,2,2
rbf,1,scale,0,2
rbf,1,scale,1,2
rbf,1,scale,2,2
rbf,10,auto,0,2
rbf,10,auto,1,2
rbf,10,auto,2,2
rbf,10,scale,0,2
rbf,10,scale,1,2
rbf,10,scale,2,2
rbf,100,auto,0,2
rbf,100,auto,1,2
rbf,100,auto,2,2
rbf,100,scale,0,2
rbf,100,scale,1,2
rbf,100,scale,2,2
rbf,1000,auto,0,2
rbf,1000,auto,1,2
rbf,1000,auto,2,2
rbf,1000,scale,0,2
rbf,1000,scale,1,2
rbf,1000,scale,2,2
linear,0.1,auto,0,5
linear,0.1,auto,1,5
linear,0.1,auto,2,5
linear,0.1,scale,0,5
linear,0.1,scale,1,5
linear,0.1,scale,2,5
linear,1,auto,0,2
linear,1,auto,1,2
linear,1,auto,2,2
linear,1,scale,0,2
linear,1,scale,1,2
linear,1,scale,2,2
linear,10,auto,0,2
linear,10,auto,1,2
linear,10,auto,2,2
linear,10,scale,0,2
linear,10,scale,1,2
linear,10,scale,2,2
linear,100,auto,0,2
linear,100,auto,1,2
linear,100,auto,2,2
linear,100,scale,0,2
linear,100,scale,1,2
linear,100,scale,2,2
linear,1000,auto,0,2
linear,1000,auto,1,2
linear,1000,auto,2,2
linear,1000,scale,0,2
linear,1000,scale,1,2
linear,1000,scale,2,2
