Trees,Difference,Precision,Recall,Fbeta
1,168,0.9493460230026,0.9493518239372928,0.9493485748388083
2,149,0.9552555387497095,0.9550798914681942,0.9551130700482019
3,115,0.9656059125879328,0.965330117576123,0.9652709305282385
4,138,0.9583961410913476,0.9583961410913476,0.9583961410913476
5,116,0.965237751345603,0.9650286403376545,0.9649759859068906
6,105,0.9683603578277226,0.9683448899608079,0.9683268695424948
7,115,0.9655281480954815,0.965330117576123,0.9652792945679342
8,104,0.9687592823573121,0.9686463671992764,0.9686113490409407
9,101,0.9696949715519867,0.969550798914682,0.9695133003303221
10,105,0.9686322481001094,0.9683448899608079,0.9682908496127396
15,102,0.9694725594651238,0.9692493216762135,0.9692030220905417
20,100,0.9699871972624643,0.9698522761531504,0.9698163065651715
25,98,0.9706576999723453,0.9704552306300874,0.9704130888416836
30,103,0.9690707755841792,0.968947844437745,0.9689119823232653
50,97,0.9708841909318614,0.970756707868556,0.9707229348092884
100,94,0.9718437931947276,0.9716611395839614,0.971622942841383
200,97,0.9709723838573299,0.970756707868556,0.9707138397659967
500,98,0.9707363417376235,0.9704552306300874,0.9704059949763961
1000,96,0.9712169451291017,0.9710581851070245,0.97102142597884
2500,101,0.9697878893122764,0.969550798914682,0.9695037376432196
