Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
distance,euclidean,ball_tree,1,125,0.9626076847469957,0.962315345191438,0.9622479235531586
distance,euclidean,ball_tree,2,127,0.9617060574975966,0.9617123907145011,0.9616985253384553
distance,euclidean,ball_tree,3,151,0.9545804759335741,0.9544769369912571,0.9544208747512737
distance,euclidean,ball_tree,4,136,0.9589898069690714,0.9589990955682846,0.9589856360105431
distance,euclidean,ball_tree,5,152,0.9542382976951375,0.9541754597527886,0.9541277379875621
distance,euclidean,ball_tree,6,145,0.9563012639562514,0.9562858004220681,0.9562547135247007
distance,euclidean,ball_tree,7,140,0.9578256173511197,0.9577931866144106,0.9577585971322213
distance,euclidean,ball_tree,8,134,0.9596272116611045,0.9596020500452216,0.9595718696054508
distance,euclidean,ball_tree,9,155,0.9533545092375992,0.9532710280373832,0.9532170607777289
distance,euclidean,ball_tree,10,142,0.957275331697115,0.9571902321374737,0.957142418882823
distance,euclidean,ball_tree,15,140,0.9578371117629334,0.9577931866144106,0.9577555075099519
distance,euclidean,ball_tree,20,149,0.9551850557583108,0.9550798914681942,0.9550245717744357
distance,euclidean,ball_tree,25,150,0.9548740579600691,0.9547784142297256,0.9547244598477571
distance,euclidean,ball_tree,30,149,0.9552671559155813,0.9550798914681942,0.9550104644439577
distance,euclidean,ball_tree,50,162,0.9514214451361163,0.9511606873681037,0.9510712939994594
distance,euclidean,ball_tree,100,174,0.9480071597390965,0.9475429605064818,0.947415594345413
distance,euclidean,kd_tree,1,125,0.9626076847469957,0.962315345191438,0.9622479235531586
distance,euclidean,kd_tree,2,126,0.9620066154999224,0.9620138679529695,0.9620013980685912
distance,euclidean,kd_tree,3,152,0.9542532394181157,0.9541754597527886,0.9541242793675289
distance,euclidean,kd_tree,4,135,0.9592924377725488,0.9593005728067531,0.9592858340211928
distance,euclidean,kd_tree,5,151,0.9545477825318527,0.9544769369912571,0.9544278155681173
distance,euclidean,kd_tree,6,145,0.9563012639562514,0.9562858004220681,0.9562547135247007
distance,euclidean,kd_tree,7,140,0.9578256173511197,0.9577931866144106,0.9577585971322213
distance,euclidean,kd_tree,8,134,0.9596272116611045,0.9596020500452216,0.9595718696054508
distance,euclidean,kd_tree,9,151,0.9545804759335741,0.9544769369912571,0.9544208747512737
distance,euclidean,kd_tree,10,139,0.9581902834980852,0.9580946638528791,0.9580462674071247
distance,euclidean,kd_tree,15,139,0.9581902834980852,0.9580946638528791,0.9580462674071247
distance,euclidean,kd_tree,20,151,0.9545988533201049,0.9544769369912571,0.954417352494441
distance,euclidean,kd_tree,25,150,0.9549109229847617,0.9547784142297256,0.9547174619809302
distance,euclidean,kd_tree,30,152,0.9543713151947103,0.9541754597527886,0.9541027967228973
distance,euclidean,kd_tree,50,157,0.9529490034648135,0.9526680735604461,0.9525794774785389
distance,euclidean,kd_tree,100,174,0.9480071597390965,0.9475429605064818,0.947415594345413
distance,euclidean,brute,1,139,0.9582269916441383,0.9580946638528791,0.9580398145478629
distance,euclidean,brute,2,133,0.9599127166527686,0.9599035272836901,0.9599073291008681
distance,euclidean,brute,3,155,0.9535545145934938,0.9532710280373832,0.9531835605679843
distance,euclidean,brute,4,134,0.9595931686752417,0.9596020500452216,0.9595887884221529
distance,euclidean,brute,5,153,0.953916336363404,0.9538739825143202,0.95383110328033
distance,euclidean,brute,6,146,0.9559823135663337,0.9559843231835996,0.9559608065213225
distance,euclidean,brute,7,148,0.9554620763297155,0.9553813687066627,0.9553315351736464
distance,euclidean,brute,8,145,0.956321049603099,0.9562858004220681,0.9562483797550113
distance,euclidean,brute,9,152,0.9542695323879732,0.9541754597527886,0.9541207859790607
distance,euclidean,brute,10,145,0.9563768681504029,0.9562858004220681,0.9562353149211013
distance,euclidean,brute,15,141,0.9575547699953473,0.9574917093759421,0.9574490332339147
distance,euclidean,brute,20,145,0.9563608793063039,0.9562858004220681,0.9562386308435564
distance,euclidean,brute,25,152,0.9543713151947103,0.9541754597527886,0.9541027967228973
distance,euclidean,brute,30,155,0.953475638446716,0.9532710280373832,0.953195047544987
distance,euclidean,brute,50,158,0.9526323439749299,0.9523665963219777,0.9522794101970037
distance,euclidean,brute,100,173,0.9483658655276683,0.9478444377449503,0.9477108694166355
distance,manhattan,ball_tree,1,104,0.9690109710627801,0.9686463671992764,0.9685863738491645
distance,manhattan,ball_tree,2,103,0.9689640316964192,0.968947844437745,0.9689301672654947
distance,manhattan,ball_tree,3,122,0.9634476501059066,0.9632197769068436,0.9631614552644308
distance,manhattan,ball_tree,4,116,0.9651159351022763,0.9650286403376545,0.964992221095771
