Trees,Difference,Precision,Recall,Fbeta
1,1,0.9838709677419355,0.967741935483871,0.9677419354838709
2,2,0.9193548387096774,0.9354838709677419,0.9247311827956989
3,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
4,1,0.9758064516129032,0.967741935483871,0.9646697388632871
5,2,0.8903225806451613,0.9354838709677419,0.9094510469722693
6,4,0.8580645161290323,0.8709677419354839,0.8532062165338905
7,2,0.8790322580645161,0.9354838709677419,0.9053763440860215
8,2,0.8790322580645161,0.9354838709677419,0.9053763440860215
9,2,0.8763440860215053,0.9354838709677419,0.904630876412388
10,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
15,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
20,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
25,1,0.9758064516129032,0.967741935483871,0.9646697388632871
30,1,0.9758064516129032,0.967741935483871,0.9646697388632871
50,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
100,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
200,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
500,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
1000,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
2500,2,0.8822580645161291,0.9354838709677419,0.9063788503516856
