Weight,DistanceMetric,Algorithm,Neighbours,Difference,Precision,Recall,Fbeta
distance,euclidean,ball_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,ball_tree,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,ball_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,ball_tree,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,ball_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,ball_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,ball_tree,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,ball_tree,8,3,0.880184331797235,0.9032258064516129,0.8833961737187545
distance,euclidean,ball_tree,9,4,0.8709677419354839,0.8709677419354839,0.8540706605222733
distance,euclidean,ball_tree,10,5,0.8387096774193549,0.8387096774193549,0.8172043010752689
distance,euclidean,ball_tree,15,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,ball_tree,20,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,ball_tree,25,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,ball_tree,30,7,0.7245657568238213,0.7741935483870968,0.7258064516129032
distance,euclidean,kd_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,kd_tree,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,kd_tree,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,kd_tree,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,kd_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,kd_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,kd_tree,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,kd_tree,8,3,0.880184331797235,0.9032258064516129,0.8833961737187545
distance,euclidean,kd_tree,9,4,0.8709677419354839,0.8709677419354839,0.8540706605222733
distance,euclidean,kd_tree,10,5,0.8387096774193549,0.8387096774193549,0.8172043010752689
distance,euclidean,kd_tree,15,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,kd_tree,20,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,kd_tree,25,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,kd_tree,30,7,0.7245657568238213,0.7741935483870968,0.7258064516129032
distance,euclidean,brute,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,brute,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,euclidean,brute,3,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,brute,4,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,brute,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,brute,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,brute,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,euclidean,brute,8,3,0.880184331797235,0.9032258064516129,0.8833961737187545
distance,euclidean,brute,9,4,0.8709677419354839,0.8709677419354839,0.8540706605222733
distance,euclidean,brute,10,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,brute,15,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,brute,20,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,brute,25,6,0.7473118279569892,0.8064516129032258,0.7601683029453016
distance,euclidean,brute,30,7,0.7245657568238213,0.7741935483870968,0.7258064516129032
distance,manhattan,ball_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,ball_tree,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,ball_tree,3,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,ball_tree,4,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,ball_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,8,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,9,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,10,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,15,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,ball_tree,20,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,ball_tree,25,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,ball_tree,30,4,0.7733664185277088,0.8709677419354839,0.8155913978494623
distance,manhattan,kd_tree,1,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,kd_tree,2,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,kd_tree,3,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,kd_tree,4,1,0.9741935483870967,0.967741935483871,0.96415770609319
distance,manhattan,kd_tree,5,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,6,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,7,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,8,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,9,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
distance,manhattan,kd_tree,10,2,0.8924731182795698,0.9354838709677419,0.9096774193548387
