Trees,Difference,Precision,Recall,FBeta
1,3,0.8790322580645161,0.9032258064516129,0.8894009216589861
2,5,0.7768817204301076,0.8387096774193549,0.7995307917888562
3,6,0.8228878648233487,0.8064516129032258,0.7870080457177231
4,3,0.8809523809523809,0.9032258064516129,0.8844274005564328
5,2,0.9516129032258065,0.9354838709677419,0.9354838709677418
6,3,0.9220430107526881,0.9032258064516129,0.8986873341712049
7,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
8,3,0.8917050691244239,0.9032258064516129,0.888888888888889
9,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
10,2,0.9274193548387096,0.9354838709677419,0.9216589861751152
15,2,0.9118279569892472,0.9354838709677419,0.9162826420890936
20,2,0.9135944700460829,0.9354838709677419,0.9168800136542071
25,2,0.9118279569892472,0.9354838709677419,0.9162826420890936
30,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
50,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
100,2,0.9118279569892472,0.9354838709677419,0.9162826420890936
200,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
500,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
1000,2,0.9135944700460829,0.9354838709677419,0.9168800136542071
2500,2,0.9166666666666667,0.9354838709677419,0.9177489177489176
