Weight,DistanceMetric,Algorithm,Neighbours,Difference
distance,euclidean,ball_tree,1,1
distance,euclidean,ball_tree,2,1
distance,euclidean,ball_tree,3,3
distance,euclidean,ball_tree,4,3
distance,euclidean,ball_tree,5,3
distance,euclidean,ball_tree,6,3
distance,euclidean,ball_tree,7,3
distance,euclidean,ball_tree,8,3
distance,euclidean,ball_tree,9,3
distance,euclidean,ball_tree,10,3
distance,euclidean,ball_tree,15,4
distance,euclidean,ball_tree,20,4
distance,euclidean,ball_tree,25,5
distance,euclidean,ball_tree,30,6
distance,euclidean,ball_tree,50,6
distance,euclidean,kd_tree,1,1
distance,euclidean,kd_tree,2,1
distance,euclidean,kd_tree,3,3
distance,euclidean,kd_tree,4,3
distance,euclidean,kd_tree,5,3
distance,euclidean,kd_tree,6,3
distance,euclidean,kd_tree,7,3
distance,euclidean,kd_tree,8,3
distance,euclidean,kd_tree,9,3
distance,euclidean,kd_tree,10,3
distance,euclidean,kd_tree,15,4
distance,euclidean,kd_tree,20,4
distance,euclidean,kd_tree,25,5
distance,euclidean,kd_tree,30,6
distance,euclidean,kd_tree,50,6
distance,euclidean,brute,1,1
distance,euclidean,brute,2,1
distance,euclidean,brute,3,3
distance,euclidean,brute,4,3
distance,euclidean,brute,5,3
distance,euclidean,brute,6,3
distance,euclidean,brute,7,3
distance,euclidean,brute,8,3
distance,euclidean,brute,9,3
distance,euclidean,brute,10,3
distance,euclidean,brute,15,4
distance,euclidean,brute,20,4
distance,euclidean,brute,25,5
distance,euclidean,brute,30,6
distance,euclidean,brute,50,6
distance,manhattan,ball_tree,1,2
distance,manhattan,ball_tree,2,2
distance,manhattan,ball_tree,3,2
distance,manhattan,ball_tree,4,2
distance,manhattan,ball_tree,5,2
distance,manhattan,ball_tree,6,3
distance,manhattan,ball_tree,7,3
distance,manhattan,ball_tree,8,3
distance,manhattan,ball_tree,9,3
distance,manhattan,ball_tree,10,3
distance,manhattan,ball_tree,15,3
distance,manhattan,ball_tree,20,3
distance,manhattan,ball_tree,25,3
distance,manhattan,ball_tree,30,3
distance,manhattan,ball_tree,50,5
distance,manhattan,kd_tree,1,2
distance,manhattan,kd_tree,2,2
distance,manhattan,kd_tree,3,2
distance,manhattan,kd_tree,4,2
distance,manhattan,kd_tree,5,2
distance,manhattan,kd_tree,6,3
distance,manhattan,kd_tree,7,3
distance,manhattan,kd_tree,8,3
distance,manhattan,kd_tree,9,3
distance,manhattan,kd_tree,10,3
distance,manhattan,kd_tree,15,3
distance,manhattan,kd_tree,20,3
distance,manhattan,kd_tree,25,3
distance,manhattan,kd_tree,30,3
distance,manhattan,kd_tree,50,5
distance,manhattan,brute,1,2
distance,manhattan,brute,2,2
distance,manhattan,brute,3,2
distance,manhattan,brute,4,2
distance,manhattan,brute,5,2
distance,manhattan,brute,6,3
distance,manhattan,brute,7,3
distance,manhattan,brute,8,3
distance,manhattan,brute,9,3
distance,manhattan,brute,10,3
distance,manhattan,brute,15,3
distance,manhattan,brute,20,3
distance,manhattan,brute,25,3
distance,manhattan,brute,30,3
distance,manhattan,brute,50,5
uniform,euclidean,ball_tree,1,1
uniform,euclidean,ball_tree,2,3
uniform,euclidean,ball_tree,3,3
uniform,euclidean,ball_tree,4,4
uniform,euclidean,ball_tree,5,4
uniform,euclidean,ball_tree,6,5
uniform,euclidean,ball_tree,7,4
uniform,euclidean,ball_tree,8,4
uniform,euclidean,ball_tree,9,4
uniform,euclidean,ball_tree,10,5
uniform,euclidean,ball_tree,15,6
uniform,euclidean,ball_tree,20,6
uniform,euclidean,ball_tree,25,14
uniform,euclidean,ball_tree,30,13
uniform,euclidean,ball_tree,50,18
uniform,euclidean,kd_tree,1,1
uniform,euclidean,kd_tree,2,3
uniform,euclidean,kd_tree,3,3
uniform,euclidean,kd_tree,4,4
uniform,euclidean,kd_tree,5,4
uniform,euclidean,kd_tree,6,5
uniform,euclidean,kd_tree,7,4
uniform,euclidean,kd_tree,8,4
uniform,euclidean,kd_tree,9,4
uniform,euclidean,kd_tree,10,5
uniform,euclidean,kd_tree,15,6
uniform,euclidean,kd_tree,20,6
uniform,euclidean,kd_tree,25,14
uniform,euclidean,kd_tree,30,13
uniform,euclidean,kd_tree,50,18
uniform,euclidean,brute,1,1
uniform,euclidean,brute,2,3
uniform,euclidean,brute,3,3
uniform,euclidean,brute,4,4
uniform,euclidean,brute,5,4
uniform,euclidean,brute,6,4
uniform,euclidean,brute,7,4
uniform,euclidean,brute,8,4
uniform,euclidean,brute,9,4
uniform,euclidean,brute,10,4
uniform,euclidean,brute,15,5
uniform,euclidean,brute,20,8
uniform,euclidean,brute,25,13
uniform,euclidean,brute,30,13
uniform,euclidean,brute,50,18
uniform,manhattan,ball_tree,1,2
uniform,manhattan,ball_tree,2,3
uniform,manhattan,ball_tree,3,3
uniform,manhattan,ball_tree,4,4
uniform,manhattan,ball_tree,5,4
uniform,manhattan,ball_tree,6,4
uniform,manhattan,ball_tree,7,4
uniform,manhattan,ball_tree,8,4
uniform,manhattan,ball_tree,9,4
uniform,manhattan,ball_tree,10,4
uniform,manhattan,ball_tree,15,6
uniform,manhattan,ball_tree,20,7
uniform,manhattan,ball_tree,25,7
uniform,manhattan,ball_tree,30,12
uniform,manhattan,ball_tree,50,17
uniform,manhattan,kd_tree,1,2
uniform,manhattan,kd_tree,2,3
uniform,manhattan,kd_tree,3,3
uniform,manhattan,kd_tree,4,4
uniform,manhattan,kd_tree,5,4
