animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
ostrich,False,True,True,False,False,False,False,False,True,True,False,False,2,True,False,True,bird
elephant,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
oryx,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
squirrel,True,False,False,True,False,False,False,True,True,True,False,False,2,True,False,False,mammal
bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
worm,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
seal,True,False,False,True,False,True,True,True,True,True,False,True,0,False,False,True,mammal
seahorse,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
pitviper,False,False,True,False,False,False,True,True,True,True,True,False,0,True,False,False,reptile
tortoise,False,False,True,False,False,False,False,False,True,True,False,False,4,True,False,True,reptile
toad,False,False,True,False,False,True,False,True,True,True,False,False,4,False,False,False,amphibian
ladybird,False,False,True,False,True,False,True,False,False,True,False,False,6,False,False,False,insect
buffalo,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
raccoon,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
tuna,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
hare,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
dogfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
sparrow,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
slug,False,False,True,False,False,False,False,False,False,True,False,False,0,False,False,False,invertebrate
vulture,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,True,bird
parakeet,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
reindeer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
wolf,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
pike,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
haddock,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
bear,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
crow,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
starfish,False,False,True,False,False,True,True,False,False,False,False,False,5,False,False,False,invertebrate
lobster,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,invertebrate
puma,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
flea,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,insect
skua,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
clam,False,False,True,False,False,False,True,False,False,False,False,False,0,False,False,False,invertebrate
seawasp,False,False,True,False,False,True,True,False,False,False,True,False,0,False,False,False,invertebrate
housefly,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
crab,False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,invertebrate
cavy,True,False,False,True,False,False,False,True,True,True,False,False,4,False,True,False,mammal
hawk,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
duck,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,bird
wren,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
lark,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
leopard,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
