animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
moth,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
platypus,True,False,True,True,False,True,True,False,True,True,False,False,4,True,False,True,mammal
scorpion,False,False,False,False,False,False,True,False,False,True,True,False,8,True,False,False,invertebrate
lynx,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
chicken,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,mammal
vampire,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,mammal
sole,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
seasnake,False,False,False,False,False,True,True,True,True,False,True,False,0,True,False,False,reptile
giraffe,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
sealion,True,False,False,True,False,True,True,True,True,True,False,True,2,True,False,True,mammal
honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,insect
wasp,True,False,True,False,True,False,False,False,False,True,True,False,6,False,False,False,insect
flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,bird
mongoose,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
catfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
carp,False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,fish
rhea,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,True,bird
penguin,False,True,True,False,False,True,True,False,True,True,False,False,2,True,False,True,bird
pheasant,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
pony,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
lion,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
mole,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,False,mammal
dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
skimmer,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
vole,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
slowworm,False,False,True,False,False,False,True,True,True,True,False,False,0,True,False,False,reptile
chub,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
frog,False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,amphibian
herring,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
